"","Method","Accuracy"
"1","Neural Network",0.765243902439024
"2","Neural Network",0.753048780487805
"3","Neural Network",0.746951219512195
"4","Neural Network",0.740853658536585
"5","Neural Network",0.704268292682927
"6","Neural Network",0.76219512195122
"7","Neural Network",0.734756097560976
"8","Neural Network",0.76219512195122
"9","Neural Network",0.73780487804878
"10","Neural Network",0.75609756097561
"11","Neural Network",0.759146341463415
"12","Neural Network",0.734756097560976
"13","Neural Network",0.722560975609756
"14","Neural Network",0.731707317073171
"15","Neural Network",0.734756097560976
"16","Neural Network",0.75
"17","Neural Network",0.75
"18","Neural Network",0.753048780487805
"19","Neural Network",0.783536585365854
"20","Neural Network",0.75609756097561
"21","Neural Network",0.759146341463415
"22","Neural Network",0.567073170731707
"23","Neural Network",0.783536585365854
"24","Neural Network",0.777439024390244
"25","Neural Network",0.768292682926829
"26","Neural Network",0.728658536585366
"27","Neural Network",0.740853658536585
"28","Neural Network",0.731707317073171
"29","Neural Network",0.704268292682927
"30","Neural Network",0.753048780487805
"31","Neural Network",0.716463414634146
"32","Neural Network",0.74390243902439
"33","Neural Network",0.725609756097561
"34","Neural Network",0.746951219512195
"35","Neural Network",0.746951219512195
"36","Neural Network",0.780487804878049
"37","Neural Network",0.759146341463415
"38","Neural Network",0.759146341463415
"39","Neural Network",0.728658536585366
"40","Neural Network",0.765243902439024
"41","Neural Network",0.73780487804878
"42","Neural Network",0.780487804878049
"43","Neural Network",0.740853658536585
"44","Neural Network",0.725609756097561
"45","Neural Network",0.765243902439024
"46","Neural Network",0.789634146341463
"47","Neural Network",0.75609756097561
"48","Neural Network",0.771341463414634
"49","Neural Network",0.753048780487805
"50","Neural Network",0.792682926829268
"51","Neural Network",0.768292682926829
"52","Neural Network",0.74390243902439
"53","Neural Network",0.74390243902439
"54","Neural Network",0.75
"55","Neural Network",0.74390243902439
"56","Neural Network",0.725609756097561
"57","Neural Network",0.716463414634146
"58","Neural Network",0.777439024390244
"59","Neural Network",0.73780487804878
"60","Neural Network",0.746951219512195
"61","Neural Network",0.75
"62","Neural Network",0.765243902439024
"63","Neural Network",0.734756097560976
"64","Neural Network",0.75609756097561
"65","Neural Network",0.725609756097561
"66","Neural Network",0.731707317073171
"67","Neural Network",0.759146341463415
"68","Neural Network",0.771341463414634
"69","Neural Network",0.734756097560976
"70","Neural Network",0.731707317073171
"71","Neural Network",0.734756097560976
"72","Neural Network",0.740853658536585
"73","Neural Network",0.774390243902439
"74","Neural Network",0.76219512195122
"75","Neural Network",0.722560975609756
"76","Neural Network",0.75609756097561
"77","Neural Network",0.771341463414634
"78","Neural Network",0.740853658536585
"79","Neural Network",0.73780487804878
"80","Neural Network",0.746951219512195
"81","Neural Network",0.73780487804878
"82","Neural Network",0.746951219512195
"83","Neural Network",0.771341463414634
"84","Neural Network",0.765243902439024
"85","Neural Network",0.759146341463415
"86","Neural Network",0.719512195121951
"87","Neural Network",0.789634146341463
"88","Neural Network",0.76219512195122
"89","Neural Network",0.774390243902439
"90","Neural Network",0.771341463414634
"91","Neural Network",0.774390243902439
"92","Neural Network",0.746951219512195
"93","Neural Network",0.777439024390244
"94","Neural Network",0.734756097560976
"95","Neural Network",0.719512195121951
"96","Neural Network",0.725609756097561
"97","Neural Network",0.774390243902439
"98","Neural Network",0.777439024390244
"99","Neural Network",0.740853658536585
"100","Neural Network",0.74390243902439
"101","Decision Tree",0.704268292682927
"102","Decision Tree",0.731707317073171
"103","Decision Tree",0.774390243902439
"104","Decision Tree",0.74390243902439
"105","Decision Tree",0.73780487804878
"106","Decision Tree",0.795731707317073
"107","Decision Tree",0.759146341463415
"108","Decision Tree",0.753048780487805
"109","Decision Tree",0.731707317073171
"110","Decision Tree",0.740853658536585
"111","Decision Tree",0.76219512195122
"112","Decision Tree",0.783536585365854
"113","Decision Tree",0.76219512195122
"114","Decision Tree",0.731707317073171
"115","Decision Tree",0.746951219512195
"116","Decision Tree",0.722560975609756
"117","Decision Tree",0.716463414634146
"118","Decision Tree",0.75609756097561
"119","Decision Tree",0.765243902439024
"120","Decision Tree",0.719512195121951
"121","Decision Tree",0.73780487804878
"122","Decision Tree",0.746951219512195
"123","Decision Tree",0.753048780487805
"124","Decision Tree",0.722560975609756
"125","Decision Tree",0.74390243902439
"126","Decision Tree",0.713414634146341
"127","Decision Tree",0.746951219512195
"128","Decision Tree",0.731707317073171
"129","Decision Tree",0.707317073170732
"130","Decision Tree",0.75
"131","Decision Tree",0.710365853658537
"132","Decision Tree",0.731707317073171
"133","Decision Tree",0.75
"134","Decision Tree",0.765243902439024
"135","Decision Tree",0.74390243902439
"136","Decision Tree",0.707317073170732
"137","Decision Tree",0.759146341463415
"138","Decision Tree",0.740853658536585
"139","Decision Tree",0.716463414634146
"140","Decision Tree",0.722560975609756
"141","Decision Tree",0.734756097560976
"142","Decision Tree",0.731707317073171
"143","Decision Tree",0.765243902439024
"144","Decision Tree",0.786585365853659
"145","Decision Tree",0.74390243902439
"146","Decision Tree",0.728658536585366
"147","Decision Tree",0.76219512195122
"148","Decision Tree",0.73780487804878
"149","Decision Tree",0.746951219512195
"150","Decision Tree",0.701219512195122
"151","Decision Tree",0.73780487804878
"152","Decision Tree",0.731707317073171
"153","Decision Tree",0.76219512195122
"154","Decision Tree",0.753048780487805
"155","Decision Tree",0.786585365853659
"156","Decision Tree",0.76219512195122
"157","Decision Tree",0.746951219512195
"158","Decision Tree",0.75
"159","Decision Tree",0.734756097560976
"160","Decision Tree",0.74390243902439
"161","Decision Tree",0.731707317073171
"162","Decision Tree",0.753048780487805
"163","Decision Tree",0.74390243902439
"164","Decision Tree",0.740853658536585
"165","Decision Tree",0.707317073170732
"166","Decision Tree",0.75609756097561
"167","Decision Tree",0.774390243902439
"168","Decision Tree",0.786585365853659
"169","Decision Tree",0.759146341463415
"170","Decision Tree",0.73780487804878
"171","Decision Tree",0.759146341463415
"172","Decision Tree",0.734756097560976
"173","Decision Tree",0.75
"174","Decision Tree",0.759146341463415
"175","Decision Tree",0.75
"176","Decision Tree",0.734756097560976
"177","Decision Tree",0.74390243902439
"178","Decision Tree",0.74390243902439
"179","Decision Tree",0.75
"180","Decision Tree",0.768292682926829
"181","Decision Tree",0.786585365853659
"182","Decision Tree",0.740853658536585
"183","Decision Tree",0.753048780487805
"184","Decision Tree",0.734756097560976
"185","Decision Tree",0.771341463414634
"186","Decision Tree",0.667682926829268
"187","Decision Tree",0.771341463414634
"188","Decision Tree",0.725609756097561
"189","Decision Tree",0.725609756097561
"190","Decision Tree",0.731707317073171
"191","Decision Tree",0.765243902439024
"192","Decision Tree",0.75609756097561
"193","Decision Tree",0.734756097560976
"194","Decision Tree",0.728658536585366
"195","Decision Tree",0.75
"196","Decision Tree",0.765243902439024
"197","Decision Tree",0.701219512195122
"198","Decision Tree",0.719512195121951
"199","Decision Tree",0.75609756097561
"200","Decision Tree",0.746951219512195
"201","Random Forest",0.789634146341463
"202","Random Forest",0.75
"203","Random Forest",0.759146341463415
"204","Random Forest",0.798780487804878
"205","Random Forest",0.817073170731707
"206","Random Forest",0.759146341463415
"207","Random Forest",0.798780487804878
"208","Random Forest",0.740853658536585
"209","Random Forest",0.777439024390244
"210","Random Forest",0.75609756097561
"211","Random Forest",0.734756097560976
"212","Random Forest",0.719512195121951
"213","Random Forest",0.774390243902439
"214","Random Forest",0.768292682926829
"215","Random Forest",0.777439024390244
"216","Random Forest",0.75609756097561
"217","Random Forest",0.777439024390244
"218","Random Forest",0.753048780487805
"219","Random Forest",0.759146341463415
"220","Random Forest",0.759146341463415
"221","Random Forest",0.75609756097561
"222","Random Forest",0.76219512195122
"223","Random Forest",0.771341463414634
"224","Random Forest",0.75609756097561
"225","Random Forest",0.76219512195122
"226","Random Forest",0.740853658536585
"227","Random Forest",0.75609756097561
"228","Random Forest",0.75
"229","Random Forest",0.771341463414634
"230","Random Forest",0.716463414634146
"231","Random Forest",0.713414634146341
"232","Random Forest",0.789634146341463
"233","Random Forest",0.786585365853659
"234","Random Forest",0.746951219512195
"235","Random Forest",0.798780487804878
"236","Random Forest",0.746951219512195
"237","Random Forest",0.753048780487805
"238","Random Forest",0.74390243902439
"239","Random Forest",0.759146341463415
"240","Random Forest",0.771341463414634
"241","Random Forest",0.728658536585366
"242","Random Forest",0.75
"243","Random Forest",0.771341463414634
"244","Random Forest",0.740853658536585
"245","Random Forest",0.765243902439024
"246","Random Forest",0.753048780487805
"247","Random Forest",0.746951219512195
"248","Random Forest",0.783536585365854
"249","Random Forest",0.76219512195122
"250","Random Forest",0.734756097560976
"251","Random Forest",0.75609756097561
"252","Random Forest",0.75609756097561
"253","Random Forest",0.768292682926829
"254","Random Forest",0.777439024390244
"255","Random Forest",0.768292682926829
"256","Random Forest",0.777439024390244
"257","Random Forest",0.795731707317073
"258","Random Forest",0.780487804878049
"259","Random Forest",0.734756097560976
"260","Random Forest",0.759146341463415
"261","Random Forest",0.74390243902439
"262","Random Forest",0.777439024390244
"263","Random Forest",0.722560975609756
"264","Random Forest",0.74390243902439
"265","Random Forest",0.75
"266","Random Forest",0.789634146341463
"267","Random Forest",0.765243902439024
"268","Random Forest",0.746951219512195
"269","Random Forest",0.698170731707317
"270","Random Forest",0.807926829268293
"271","Random Forest",0.740853658536585
"272","Random Forest",0.789634146341463
"273","Random Forest",0.722560975609756
"274","Random Forest",0.774390243902439
"275","Random Forest",0.731707317073171
"276","Random Forest",0.73780487804878
"277","Random Forest",0.753048780487805
"278","Random Forest",0.753048780487805
"279","Random Forest",0.795731707317073
"280","Random Forest",0.722560975609756
"281","Random Forest",0.76219512195122
"282","Random Forest",0.689024390243902
"283","Random Forest",0.746951219512195
"284","Random Forest",0.695121951219512
"285","Random Forest",0.74390243902439
"286","Random Forest",0.774390243902439
"287","Random Forest",0.759146341463415
"288","Random Forest",0.759146341463415
"289","Random Forest",0.731707317073171
"290","Random Forest",0.804878048780488
"291","Random Forest",0.73780487804878
"292","Random Forest",0.698170731707317
"293","Random Forest",0.76219512195122
"294","Random Forest",0.719512195121951
"295","Random Forest",0.731707317073171
"296","Random Forest",0.740853658536585
"297","Random Forest",0.780487804878049
"298","Random Forest",0.722560975609756
"299","Random Forest",0.725609756097561
"300","Random Forest",0.74390243902439
