Experiment-number, TP, FN, FP, TN, Precision, Recall, F-score, Accuracy, Miss-rate, Fall-out-rate
1,128,36,33,131,0.795031055900621,0.780487804878049,0.787692307692308,0.789634146341463,0.138996138996139,0.201219512195122
2,127,37,45,119,0.738372093023256,0.774390243902439,0.755952380952381,0.75,0.150406504065041,0.274390243902439
3,126,38,41,123,0.754491017964072,0.768292682926829,0.761329305135952,0.759146341463415,0.152610441767068,0.25
4,130,34,32,132,0.802469135802469,0.792682926829268,0.797546012269939,0.798780487804878,0.129770992366412,0.195121951219512
5,130,34,26,138,0.833333333333333,0.792682926829268,0.8125,0.817073170731707,0.126865671641791,0.158536585365854
6,123,41,38,126,0.763975155279503,0.75,0.756923076923077,0.759146341463415,0.164658634538153,0.231707317073171
7,136,28,38,126,0.781609195402299,0.829268292682927,0.804733727810651,0.798780487804878,0.106870229007634,0.231707317073171
8,122,42,43,121,0.739393939393939,0.74390243902439,0.741641337386018,0.740853658536585,0.172839506172839,0.26219512195122
9,115,49,24,140,0.827338129496403,0.701219512195122,0.759075907590759,0.777439024390244,0.192156862745098,0.146341463414634
10,117,47,33,131,0.78,0.713414634146341,0.745222929936306,0.75609756097561,0.189516129032258,0.201219512195122
11,101,63,24,140,0.808,0.615853658536585,0.698961937716263,0.734756097560976,0.261410788381743,0.146341463414634
12,104,60,32,132,0.764705882352941,0.634146341463415,0.693333333333333,0.719512195121951,0.254237288135593,0.195121951219512
13,124,40,34,130,0.784810126582278,0.75609756097561,0.770186335403727,0.774390243902439,0.15748031496063,0.207317073170732
14,118,46,30,134,0.797297297297297,0.719512195121951,0.756410256410256,0.768292682926829,0.182539682539683,0.182926829268293
15,127,37,36,128,0.779141104294479,0.774390243902439,0.776758409785933,0.777439024390244,0.145098039215686,0.219512195121951
16,114,50,30,134,0.791666666666667,0.695121951219512,0.74025974025974,0.75609756097561,0.201612903225806,0.182926829268293
17,130,34,39,125,0.769230769230769,0.792682926829268,0.780780780780781,0.777439024390244,0.133333333333333,0.23780487804878
18,126,38,43,121,0.745562130177515,0.768292682926829,0.756756756756757,0.753048780487805,0.153846153846154,0.26219512195122
19,129,35,44,120,0.745664739884393,0.786585365853659,0.765578635014837,0.759146341463415,0.140562248995984,0.268292682926829
20,127,37,42,122,0.751479289940828,0.774390243902439,0.762762762762763,0.759146341463415,0.14859437751004,0.25609756097561
21,126,38,42,122,0.75,0.768292682926829,0.759036144578313,0.75609756097561,0.153225806451613,0.25609756097561
22,121,43,35,129,0.775641025641026,0.73780487804878,0.75625,0.76219512195122,0.172,0.213414634146341
23,114,50,25,139,0.820143884892086,0.695121951219512,0.752475247524752,0.771341463414634,0.197628458498024,0.152439024390244
24,118,46,34,130,0.776315789473684,0.719512195121951,0.746835443037975,0.75609756097561,0.185483870967742,0.207317073170732
25,125,39,39,125,0.76219512195122,0.76219512195122,0.76219512195122,0.76219512195122,0.156,0.23780487804878
26,128,36,49,115,0.72316384180791,0.780487804878049,0.750733137829912,0.740853658536585,0.148148148148148,0.298780487804878
27,122,42,38,126,0.7625,0.74390243902439,0.753086419753086,0.75609756097561,0.169354838709677,0.231707317073171
28,121,43,39,125,0.75625,0.73780487804878,0.746913580246914,0.75,0.17479674796748,0.23780487804878
29,119,45,30,134,0.798657718120805,0.725609756097561,0.76038338658147,0.771341463414634,0.177865612648221,0.182926829268293
30,127,37,56,108,0.693989071038251,0.774390243902439,0.731988472622478,0.716463414634146,0.157446808510638,0.341463414634146
31,106,58,36,128,0.746478873239437,0.646341463414634,0.69281045751634,0.713414634146341,0.247863247863248,0.219512195121951
32,141,23,46,118,0.754010695187166,0.859756097560976,0.803418803418803,0.789634146341463,0.0888030888030888,0.280487804878049
33,127,37,33,131,0.79375,0.774390243902439,0.783950617283951,0.786585365853659,0.143410852713178,0.201219512195122
34,109,55,28,136,0.795620437956204,0.664634146341463,0.724252491694352,0.746951219512195,0.224489795918367,0.170731707317073
35,129,35,31,133,0.80625,0.786585365853659,0.796296296296296,0.798780487804878,0.133587786259542,0.189024390243902
36,126,38,45,119,0.736842105263158,0.768292682926829,0.752238805970149,0.746951219512195,0.155102040816327,0.274390243902439
37,123,41,40,124,0.754601226993865,0.75,0.752293577981651,0.753048780487805,0.165991902834008,0.24390243902439
38,108,56,28,136,0.794117647058823,0.658536585365854,0.72,0.74390243902439,0.229508196721311,0.170731707317073
39,122,42,37,127,0.767295597484277,0.74390243902439,0.755417956656347,0.759146341463415,0.168674698795181,0.225609756097561
40,126,38,37,127,0.773006134969325,0.768292682926829,0.770642201834862,0.771341463414634,0.150197628458498,0.225609756097561
41,112,52,37,127,0.751677852348993,0.682926829268293,0.715654952076677,0.728658536585366,0.217573221757322,0.225609756097561
42,117,47,35,129,0.769736842105263,0.713414634146341,0.740506329113924,0.75,0.191056910569106,0.213414634146341
43,123,41,34,130,0.78343949044586,0.75,0.766355140186916,0.771341463414634,0.162055335968379,0.207317073170732
44,121,43,42,122,0.742331288343558,0.73780487804878,0.740061162079511,0.740853658536585,0.176954732510288,0.25609756097561
45,120,44,33,131,0.784313725490196,0.731707317073171,0.757097791798107,0.765243902439024,0.175298804780877,0.201219512195122
46,125,39,42,122,0.748502994011976,0.76219512195122,0.755287009063444,0.753048780487805,0.157894736842105,0.25609756097561
47,121,43,40,124,0.751552795031056,0.73780487804878,0.744615384615385,0.746951219512195,0.175510204081633,0.24390243902439
48,134,30,41,123,0.765714285714286,0.817073170731707,0.790560471976401,0.783536585365854,0.116731517509728,0.25
49,130,34,44,120,0.747126436781609,0.792682926829268,0.769230769230769,0.76219512195122,0.136,0.268292682926829
50,109,55,32,132,0.773049645390071,0.664634146341463,0.714754098360656,0.734756097560976,0.228215767634855,0.195121951219512
51,120,44,36,128,0.769230769230769,0.731707317073171,0.75,0.75609756097561,0.17741935483871,0.219512195121951
52,140,24,56,108,0.714285714285714,0.853658536585366,0.777777777777778,0.75609756097561,0.0967741935483871,0.341463414634146
53,125,39,37,127,0.771604938271605,0.76219512195122,0.766871165644172,0.768292682926829,0.154761904761905,0.225609756097561
54,130,34,39,125,0.769230769230769,0.792682926829268,0.780780780780781,0.777439024390244,0.133333333333333,0.23780487804878
55,133,31,45,119,0.747191011235955,0.810975609756098,0.777777777777778,0.768292682926829,0.123015873015873,0.274390243902439
56,118,46,27,137,0.813793103448276,0.719512195121951,0.763754045307443,0.777439024390244,0.180392156862745,0.164634146341463
57,135,29,38,126,0.780346820809249,0.823170731707317,0.801186943620178,0.795731707317073,0.111111111111111,0.231707317073171
58,124,40,32,132,0.794871794871795,0.75609756097561,0.775,0.780487804878049,0.15625,0.195121951219512
59,121,43,44,120,0.733333333333333,0.73780487804878,0.735562310030395,0.734756097560976,0.178423236514523,0.268292682926829
60,127,37,42,122,0.751479289940828,0.774390243902439,0.762762762762763,0.759146341463415,0.14859437751004,0.25609756097561
61,119,45,39,125,0.753164556962025,0.725609756097561,0.739130434782609,0.74390243902439,0.184426229508197,0.23780487804878
62,127,37,36,128,0.779141104294479,0.774390243902439,0.776758409785933,0.777439024390244,0.145098039215686,0.219512195121951
63,116,48,43,121,0.729559748427673,0.707317073170732,0.718266253869969,0.722560975609756,0.20253164556962,0.26219512195122
64,127,37,47,117,0.729885057471264,0.774390243902439,0.751479289940828,0.74390243902439,0.151639344262295,0.286585365853659
65,121,43,39,125,0.75625,0.73780487804878,0.746913580246914,0.75,0.17479674796748,0.23780487804878
66,134,30,39,125,0.774566473988439,0.817073170731707,0.795252225519288,0.789634146341463,0.115830115830116,0.23780487804878
67,130,34,43,121,0.751445086705202,0.792682926829268,0.771513353115727,0.765243902439024,0.135458167330677,0.26219512195122
68,120,44,39,125,0.754716981132076,0.731707317073171,0.743034055727554,0.746951219512195,0.179591836734694,0.23780487804878
69,115,49,50,114,0.696969696969697,0.701219512195122,0.699088145896657,0.698170731707317,0.213973799126638,0.304878048780488
70,127,37,26,138,0.830065359477124,0.774390243902439,0.801261829652997,0.807926829268293,0.139622641509434,0.158536585365854
71,121,43,42,122,0.742331288343558,0.73780487804878,0.740061162079511,0.740853658536585,0.176954732510288,0.25609756097561
72,124,40,29,135,0.810457516339869,0.75609756097561,0.782334384858044,0.789634146341463,0.154440154440154,0.176829268292683
73,126,38,53,111,0.70391061452514,0.768292682926829,0.73469387755102,0.722560975609756,0.160337552742616,0.323170731707317
74,128,36,38,126,0.771084337349398,0.780487804878049,0.775757575757576,0.774390243902439,0.141732283464567,0.231707317073171
75,119,45,43,121,0.734567901234568,0.725609756097561,0.730061349693252,0.731707317073171,0.1875,0.26219512195122
76,112,52,34,130,0.767123287671233,0.682926829268293,0.72258064516129,0.73780487804878,0.214876033057851,0.207317073170732
77,126,38,43,121,0.745562130177515,0.768292682926829,0.756756756756757,0.753048780487805,0.153846153846154,0.26219512195122
78,109,55,26,138,0.807407407407407,0.664634146341463,0.729096989966555,0.753048780487805,0.222672064777328,0.158536585365854
79,123,41,26,138,0.825503355704698,0.75,0.78594249201278,0.795731707317073,0.157088122605364,0.158536585365854
80,121,43,48,116,0.715976331360947,0.73780487804878,0.726726726726727,0.722560975609756,0.181434599156118,0.292682926829268
81,128,36,42,122,0.752941176470588,0.780487804878049,0.766467065868264,0.76219512195122,0.144,0.25609756097561
82,108,56,46,118,0.701298701298701,0.658536585365854,0.679245283018868,0.689024390243902,0.247787610619469,0.280487804878049
83,114,50,33,131,0.775510204081633,0.695121951219512,0.733118971061093,0.746951219512195,0.204081632653061,0.201219512195122
84,114,50,50,114,0.695121951219512,0.695121951219512,0.695121951219512,0.695121951219512,0.219298245614035,0.304878048780488
85,127,37,47,117,0.729885057471264,0.774390243902439,0.751479289940828,0.74390243902439,0.151639344262295,0.286585365853659
86,121,43,31,133,0.796052631578947,0.73780487804878,0.765822784810127,0.774390243902439,0.169291338582677,0.189024390243902
87,129,35,44,120,0.745664739884393,0.786585365853659,0.765578635014837,0.759146341463415,0.140562248995984,0.268292682926829
88,129,35,44,120,0.745664739884393,0.786585365853659,0.765578635014837,0.759146341463415,0.140562248995984,0.268292682926829
89,111,53,35,129,0.76027397260274,0.676829268292683,0.716129032258065,0.731707317073171,0.220833333333333,0.213414634146341
90,137,27,37,127,0.78735632183908,0.835365853658537,0.810650887573965,0.804878048780488,0.102272727272727,0.225609756097561
91,120,44,42,122,0.740740740740741,0.731707317073171,0.736196319018405,0.73780487804878,0.181818181818182,0.25609756097561
92,108,56,43,121,0.71523178807947,0.658536585365854,0.685714285714286,0.698170731707317,0.244541484716157,0.26219512195122
93,119,45,33,131,0.782894736842105,0.725609756097561,0.753164556962025,0.76219512195122,0.18,0.201219512195122
94,109,55,37,127,0.746575342465753,0.664634146341463,0.703225806451613,0.719512195121951,0.233050847457627,0.225609756097561
95,131,33,55,109,0.704301075268817,0.798780487804878,0.748571428571429,0.731707317073171,0.1375,0.335365853658537
96,115,49,36,128,0.76158940397351,0.701219512195122,0.73015873015873,0.740853658536585,0.201646090534979,0.219512195121951
97,122,42,30,134,0.802631578947368,0.74390243902439,0.772151898734177,0.780487804878049,0.1640625,0.182926829268293
98,128,36,55,109,0.699453551912568,0.780487804878049,0.737752161383285,0.722560975609756,0.151898734177215,0.335365853658537
99,126,38,52,112,0.707865168539326,0.768292682926829,0.736842105263158,0.725609756097561,0.159663865546218,0.317073170731707
100,125,39,45,119,0.735294117647059,0.76219512195122,0.748502994011976,0.74390243902439,0.159836065573771,0.274390243902439
